n,Instance,Pi,Drone Eligibility,Z
50,1,N/A,0.1,1.629
50,2,N/A,0.1,1.796
50,3,N/A,0.1,1.844
50,4,N/A,0.1,1.781
50,5,N/A,0.1,1.666
75,1,N/A,0.1,1.880
75,2,N/A,0.1,1.771
75,3,N/A,0.1,"1.961	"
75,4,N/A,0.1,"1.832	"
75,5,N/A,0.1,"1.796	"
50,1,1,0.1,1.629
50,2,1,0.1,1.796
50,3,1,0.1,1.844
50,4,1,0.1,1.781
50,5,1,0.1,1.666
75,1,1,0.1,1.880
75,2,1,0.1,1.771
75,3,1,0.1,1.961
75,4,1,0.1,1.832
75,5,1,0.1,1.796
50,1,0.9,0.1,1.629
50,2,0.9,0.1,1.796
50,3,0.9,0.1,1.844
50,4,0.9,0.1,1.781
50,5,0.9,0.1,1.666
75,1,0.9,0.1,1.880
75,2,0.9,0.1,1.771
75,3,0.9,0.1,1.961
75,4,0.9,0.1,1.832
75,5,0.9,0.1,1.796
100,1,N/A,0.1,2.057
100,2,N/A,0.1,2.062
100,3,N/A,0.1,1.959
100,4,N/A,0.1,2.283
100,5,N/A,0.1,2.140
100,1,1,0.1,2.057
100,2,1,0.1,2.062
100,3,1,0.1,1.959
100,4,1,0.1,2.283
100,5,1,0.1,2.140
100,1,0.9,0.1,2.057
100,2,0.9,0.1,2.062
100,3,0.9,0.1,1.960
100,4,0.9,0.1,2.283
100,5,0.9,0.1,2.180
50,1,N/A,0.2,1.565
50,2,N/A,0.2,1.650
50,3,N/A,0.2,"1.791	"
50,4,N/A,0.2,"1.617	"
50,5,N/A,0.2,"1.639	"
75,1,N/A,0.2,"1.823	"
75,2,N/A,0.2,"1.742	"
75,3,N/A,0.2,"1.933	"
75,4,N/A,0.2,"1.795	"
75,5,N/A,0.2,"1.770	"
100,1,N/A,0.2,"2.004	"
100,2,N/A,0.2,"1.959	"
100,3,N/A,0.2,"1.885	"
100,4,N/A,0.2,"2.081	"
100,5,N/A,0.2,"2.041	"
50,1,N/A,0.3,1.524
50,2,N/A,0.3,1.623
50,3,N/A,0.3,"1.686	"
50,4,N/A,0.3,"1.601	"
50,5,N/A,0.3,"1.625	"
75,1,N/A,0.3,1.776
75,2,N/A,0.3,"1.657	"
75,3,N/A,0.3,"1.799	"
75,4,N/A,0.3,"1.754	"
75,5,N/A,0.3,"1.694	"
100,1,N/A,0.3,1.948
100,2,N/A,0.3,"1.891	"
100,3,N/A,0.3,"1.725	"
100,4,N/A,0.3,"2.002	"
100,5,N/A,0.3,"1.961	"
50,1,N/A,0.4,1.524
50,2,N/A,0.4,"1.604	"
50,3,N/A,0.4,"1.598	"
50,4,N/A,0.4,"1.545	"
50,5,N/A,0.4,"1.474	"
75,1,N/A,0.4,"	1.699"
75,2,N/A,0.4,"1.645	"
75,3,N/A,0.4,"1.770	"
75,4,N/A,0.4,"1.700	"
75,5,N/A,0.4,"1.632	"
100,1,N/A,0.4,"	1.803"
100,2,N/A,0.4,1.843
100,3,N/A,0.4,"1.680	"
100,4,N/A,0.4,"1.919	"
100,5,N/A,0.4,"1.796	"
50,1,N/A,0.5,1.423
50,2,N/A,0.5,"1.469	"
50,3,N/A,0.5,"1.591	"
50,4,N/A,0.5,"1.510	"
50,5,N/A,0.5,"1.399	"
75,1,N/A,0.5,"	1.627	"
75,2,N/A,0.5,"1.604	"
75,3,N/A,0.5,"1.604	"
75,4,N/A,0.5,"1.632	"
75,5,N/A,0.5,"1.613	"
100,1,N/A,0.5,"	1.766	"
100,2,N/A,0.5,"	1.759	"
100,3,N/A,0.5,"1.637	"
100,4,N/A,0.5,1.869
100,5,N/A,0.5,"1.670	"
50,1,N/A,0.6,1.367
50,2,N/A,0.6,1.358
50,3,N/A,0.6,1.472
50,4,N/A,0.6,1.417
50,5,N/A,0.6,1.367
75,1,N/A,0.6,1.591
75,2,N/A,0.6,1.573
75,3,N/A,0.6,1.522
75,4,N/A,0.6,1.607
75,5,N/A,0.6,1.520
100,1,N/A,0.6,1.636
100,2,N/A,0.6,1.690
100,3,N/A,0.6,1.513
100,4,N/A,0.6,"	1.759"
100,5,N/A,0.6,1.569
200,1,N/A,0.1,2.377
200,2,N/A,0.1,2.575
200,3,N/A,0.1,2.464
200,1,N/A,0.2,2.338
200,2,N/A,0.2,2.493
200,3,N/A,0.2,2.410
200,1,N/A,0.3,2.261
200,2,N/A,0.3,2.400
200,3,N/A,0.3,2.329
200,1,N/A,0.4,2.218
200,2,N/A,0.4,2.305
200,3,N/A,0.4,2.210
200,1,N/A,0.5,2.176
200,2,N/A,0.5,2.189
200,3,N/A,0.5,2.177
200,1,N/A,0.6,2.039
200,2,N/A,0.6,2.136
200,3,N/A,0.6,2.138
